TimeOfFix,Latitude,Longitude,SOG,Heading,PortIndex,EEZ,Exercise
2022-08-28 01:07:19+00:00,24.008007,118.996233, 0.2, 0, 0, TWN,3
2022-08-27 22:55:16+00:00,24.007867,118.99642, 0.1, 183.3, 0, TWN,3
2022-08-27 21:10:12+00:00,24.009027,118.99458, 0.5, 183.3, 0, TWN,3
2022-08-27 18:10:07+00:00,24.046158,118.992342, 0.2, 215.1, 0, CHN,3
2022-08-27 17:23:59+00:00,24.053129,118.996811, 0, 0, null, null,3
2022-08-27 04:10:19+00:00,24.119248,119.053912, 0, 74.4, 0, CHN,3
2022-08-26 08:37:19+00:00,24.003228,118.942385, 6.5, 159.1, 0, CHN,3
2022-08-24 07:05:58+00:00,24.531077,119.162682, 0.7, 287.2, 0, CHN,3
2022-08-21 06:25:50+00:00,24.712727,118.769778, 5.8, 161, 0, CHN,3
2021-11-04 04:52:24+00:00,24.700392,118.785905, 8, 158, 0, CHN,2
2020-10-12 02:31:43+00:00,24.741825,118.767782, 6.3, 228, 0, CHN,1
2020-10-11 20:02:32+00:00,24.743312,118.769267, 0.1, 39, 0, CHN,1
2020-10-11 18:50:16+00:00,24.641247,118.851358, 7.1, 320, 0, CHN,1
2020-10-11 06:46:25+00:00,24.689743,118.936568, 6, 113, 0, CHN,1
2020-10-11 04:51:36+00:00,24.743928,118.76898, 0, 0, 0, CHN,1
2020-10-04 02:10:21+00:00,24.742038,118.840087, 7.9, 275, 0, CHN,1
2020-10-04 00:06:48+00:00,24.721068,119.131565, 7.8, 274, 0, CHN,1
2020-10-02 06:15:59+00:00,24.674552,118.923955, 6.8, 115, 0, CHN,1
2020-10-02 04:46:11+00:00,24.743225,118.769297, 0.3, 0, 0, CHN,1
2019-08-26 04:19:00+00:00,24.777362,118.938282, 8.7, 74, 0, CHN,0
2019-08-26 03:09:15+00:00,24.739912,118.767465, 6.1, 106, 0, CHN,0
2019-08-26 01:12:30+00:00,24.727918,118.767007, 6.7, 13, 0, CHN,0
2019-08-23 02:10:31+00:00,24.771972,118.847465, 7.5, 243, 0, CHN,0
2019-08-23 01:14:58+00:00,24.820617,118.970108, 7.7, 251, 0, CHN,0
2019-08-20 00:36:59+00:00,24.740848,118.777575, 7.9, 79, 0, CHN,0
2019-08-19 23:15:55+00:00,24.709717,118.766995, 8.2, 15, 0, CHN,0
2019-08-18 05:29:56+00:00,24.710585,118.763925, 7.1, 168, 0, CHN,0
2019-08-15 00:04:40+00:00,24.715423,118.806838, 8.6, 308, 0, CHN,0
2019-08-13 05:23:28+00:00,24.739283,118.766263, 7.5, 187, 0, CHN,0
2019-08-12 23:15:23+00:00,24.73028,118.786035, 8.3, 300, 0, CHN,0
2019-08-11 06:09:35+00:00,24.691245,118.781708, 6.1, 167, 0, CHN,0
2019-08-11 05:39:29+00:00,24.739748,118.766405, 6.1, 176, 0, CHN,0
2019-08-10 09:29:41+00:00,24.682393,118.7901, 8.7, 2, 0, CHN,0
2019-08-10 06:41:08+00:00,24.71793,118.770552, 5.8, 164, 0, CHN,0
2019-08-06 21:26:50+00:00,24.698107,118.818672, 7.9, 307, 0, CHN,0
2019-08-06 06:29:33+00:00,24.738677,118.768285, 7.2, 129, 0, CHN,0
