TimeOfFix,Latitude,Longitude,SOG,Heading,PortIndex,EEZ,Exercise
2024-05-28 18:00:24+00:00,20.131667,125.48,11.0,138,0, PHL,-1
2024-06-06 18:55:53+00:00,8.845,119.918333, 0, 305.1, 0, PHL,-1
2024-06-10 16:53:17+00:00,23.231277,117.98858, 9.4, 224, 0, CHN,-1
2024-05-31 04:45:50+00:00,14.712733,114.050363, 11.4, 226, 0, XPI,-1
2024-05-23 18:24:36+00:00,15.132823,110.596593, 0, 47.4, 0, XPI,-1
2024-06-10 11:21:00+00:00,22.960062,116.51971,5.8,334.5,0, CHN,-1
2024-06-10 16:26:34+00:00,23.71559,117.608605, 4.5, 246.1, 0, CHN,-1
2024-06-10 16:08:19+00:00,24.777168,118.756217, 0.1, 349.8, 0, CHN,-1
2024-06-10 16:20:01+00:00,24.78054,118.768453, 0, 0, 0, CHN,-1
2024-06-10 16:00:19+00:00,22.210072,113.084038, 0.6, 7.1, 0, CHN,-1
2024-06-10 16:13:34+00:00,22.71512,114.536303, 0.1, 356.6, 57859, CHN,-1
2024-06-10 16:16:22+00:00,22.701748,114.542497,0.0,191.0,57859, CHN,-1
2024-06-10 16:05:56+00:00,22.71542,114.53976, 1, 174.2, 0, CHN,-1
2024-06-10 15:17:29+00:00,21.495443,111.229928, 0, 191, 0, CHN,-1
2024-06-10 16:08:13+00:00,22.209963,113.0844, 0.2, 44.3, 0, CHN,-1
2024-06-10 15:54:24+00:00,22.210123,113.083982, 0, 228.6, 0, CHN,-1
2024-06-10 16:07:31+00:00,22.206837,113.083943, 0.1, 70.7, 0, CHN,-1
2024-06-10 16:11:33+00:00,22.14796,113.81084, 0.1, 0, 0, CHN,-1
2024-06-10 15:59:08+00:00,22.210098,113.084187, 0, 0, 0, CHN,-1
2024-06-10 16:09:24+00:00,22.20913,113.084173,0.3,278.7,0, CHN,-1
2024-06-10 15:59:18+00:00,22.209628,113.084333,0.0,254.7,0, CHN,-1
2024-06-10 15:56:57+00:00,22.207215,113.084697, 0, 204, 0, CHN,-1
2024-06-10 15:39:17+00:00,21.644533,111.763877, 0.3, 62.8, 0, CHN,-1
2024-06-10 15:55:02+00:00,22.207667,113.084743, 0.3, 0, 0, CHN,-1
2024-06-10 16:01:07+00:00,22.206715,113.083888, 0.7, 248.8, 0, CHN,-1
2024-06-10 15:55:56+00:00,22.207205,113.084338, 0, 208.3, 0, CHN,-1
2024-06-10 15:56:37+00:00,22.207208,113.084392,0.0,0.0, 0, CHN,-1
2024-06-10 18:05:45+00:00,22.207005,113.084627, 0.1, 343.6, 0, CHN,-1
2024-06-10 17:59:59+00:00,22.209918,113.086987, 0, 242.6, 0, CHN,-1
2024-06-10 18:02:58+00:00,22.207055,113.084765, 0.3, 34, 0, CHN,-1
2024-06-10 18:00:48+00:00,21.204782,110.471218, 0.3, 65.3, 57770, CHN,-1
2024-06-10 17:52:35+00:00,22.211863,113.083877,0.3,0.0,0, CHN,-1
2024-06-10 18:01:38+00:00,22.209092,113.087267,0.0,74.5,0, CHN,-1
2024-06-10 17:53:36+00:00,22.147843,113.815403, 0, 136.2, 0, CHN,-1
2024-06-10 17:58:30+00:00,22.207083,113.083858, 0, 62.9, 0, CHN,-1
2024-06-10 17:57:50+00:00,22.207128,113.084258, 0.3, 341.8, 0, CHN,-1
2024-06-10 17:36:26+00:00,21.735412,112.229022, 0, 18.9, 0, CHN,-1
2024-06-10 18:00:50+00:00,23.191137,116.822085,1.5,35.7,0, CHN,-1
2024-06-10 17:55:43+00:00,22.206812,113.083852,0.0,213.7,0, CHN,-1
2024-06-10 18:01:48+00:00,23.237408,116.788297,0.1,1.7,0, CHN,-1
